INDEX,YEAR,MN,DT,MAX,MIN,RF
42137,1976,8,19,30.0,24.0,0.0
42137,1976,8,20,30.0,22.0,40.0
42137,1976,8,21,28.0,24.0,6.0
42137,1976,8,22,31.0,25.0,0.0
42137,1976,8,23,34.0,27.0,0.0
42137,1976,8,24,34.0,23.0,0.0
42137,1976,8,25,32.0,24.0,0.0
42137,1976,8,26,32.0,24.5,0.0
42137,1976,8,27,31.5,24.5,30.0
42137,1976,8,28,32.5,21.5,0.0
42137,1976,8,29,31.0,24.0,0.0
42137,1976,8,30,33.0,24.0,0.0
42137,1976,8,31,31.5,24.0,0.0
42137,1976,9,1,,,0.0
42137,1976,9,2,,,0.0
42137,1976,9,3,,,7.0
42137,1976,9,4,,,0.0
42137,1976,9,5,,,0.0
42137,1976,9,6,,,0.0
42137,1976,9,7,,,12.0
42137,1976,9,8,,,0.0
42137,1976,9,9,,,7.0
42137,1976,9,10,,,0.0
42137,1976,9,11,,,0.0
42137,1976,9,12,,,
42137,1976,9,13,,,0.0
42137,1976,9,14,,,0.0
42137,1976,9,15,,,0.0
42137,1976,9,16,,,0.0
42137,1976,9,17,,,0.0
42137,1976,9,18,,,0.0
42137,1976,9,19,,,0.0
42137,1976,9,20,,,0.0
42137,1976,9,21,,,0.0
42137,1976,9,22,,,0.0
42137,1976,9,23,,,0.0
42137,1976,9,24,,,0.0
42137,1976,9,25,,,0.0
42137,1976,9,26,,,0.0
42137,1976,9,27,,,0.0
42137,1976,9,28,,,0.0
42137,1976,9,29,,,0.0
42137,1976,9,30,,,0.0
42137,1976,10,1,33.5,22.0,0.0
42137,1976,10,2,33.0,22.0,0.0
42137,1976,10,3,33.0,22.0,0.0
42137,1976,10,4,34.0,22.0,0.0
42137,1976,10,5,28.4,22.5,0.0
42137,1976,10,6,34.0,22.0,0.0
42137,1976,10,7,35.0,21.0,0.0
42137,1976,10,8,35.0,21.0,0.0
42137,1976,10,9,33.5,20.0,0.0
42137,1976,10,10,32.5,20.0,0.0
42137,1976,10,11,33.0,18.0,0.0
42137,1976,10,12,32.1,18.0,0.0
42137,1976,10,13,32.5,17.5,0.0
42137,1976,10,14,32.5,17.0,0.0
42137,1976,10,15,33.5,18.5,0.0
42137,1976,10,16,33.0,18.5,0.0
42137,1976,10,17,35.5,18.0,0.0
42137,1976,10,18,32.0,18.0,0.0
42137,1976,10,19,31.8,17.0,0.0
42137,1976,10,20,32.0,17.5,0.0
42137,1976,10,21,32.0,18.0,0.0
42137,1976,10,22,31.5,19.0,0.0
42137,1976,10,23,32.0,19.0,0.0
42137,1976,10,24,32.0,17.0,0.0
42137,1976,10,25,33.0,18.0,0.0
42137,1976,10,26,32.8,17.0,0.0
42137,1976,10,27,31.5,15.5,0.0
42137,1976,10,28,30.0,15.0,0.0
42137,1976,10,29,30.5,15.0,0.0
42137,1976,10,30,30.5,15.0,0.0
42137,1976,10,31,30.5,16.0,0.0
42137,1976,11,1,30.0,16.0,0.0
42137,1976,11,2,30.2,16.0,0.0
42137,1976,11,3,30.5,15.0,0.0
42137,1976,11,4,30.2,16.0,0.0
42137,1976,11,5,29.5,21.0,0.0
42137,1976,11,6,31.5,15.0,0.0
42137,1976,11,7,31.0,15.0,0.0
42137,1976,11,8,29.5,15.0,0.0
42137,1976,11,9,29.5,14.0,0.0
42137,1976,11,10,29.5,14.0,0.0
42137,1976,11,11,29.5,14.0,0.0
42137,1976,11,12,30.5,12.5,0.0
42137,1976,11,13,32.0,14.0,0.0
42137,1976,11,14,32.0,15.5,0.0
42137,1976,11,15,28.0,14.0,0.0
42137,1976,11,16,26.0,12.0,0.0
42137,1976,11,17,25.5,14.0,0.0
42137,1976,11,18,22.0,6.0,0.0
42137,1976,11,19,24.0,12.0,0.0
42137,1976,11,20,25.0,11.0,0.0
42137,1976,11,21,24.0,13.5,0.0
42137,1976,11,22,21.0,11.0,0.0
42137,1976,11,23,26.5,13.5,0.0
42137,1976,11,24,25.0,13.0,0.0
42137,1976,11,25,27.5,13.0,0.0
42137,1976,11,26,27.0,13.0,0.0
42137,1976,11,27,27.0,9.0,0.0
42137,1976,11,28,27.0,9.0,0.0
42137,1976,11,29,26.6,9.0,0.0
42137,1976,11,30,29.0,9.0,0.0
42137,1976,12,1,25.5,7.5,0.0
42137,1976,12,2,27.5,10.0,0.0
42137,1976,12,3,25.0,11.0,0.0
42137,1976,12,4,24.5,11.0,0.0
42137,1976,12,5,23.0,9.0,0.0
42137,1976,12,6,24.5,8.0,0.0
42137,1976,12,7,25.0,7.0,0.0
42137,1976,12,8,25.5,7.0,0.0
42137,1976,12,9,25.0,8.0,0.0
42137,1976,12,10,25.5,7.0,0.0
42137,1976,12,11,20.5,6.0,0.0
42137,1976,12,12,21.0,6.0,0.0
42137,1976,12,13,21.5,4.0,0.0
42137,1976,12,14,22.0,6.0,0.0
42137,1976,12,15,22.5,8.0,0.0
42137,1976,12,16,22.0,8.0,0.0
42137,1976,12,17,22.5,7.0,0.0
42137,1976,12,18,21.5,6.0,0.0
42137,1976,12,19,22.5,6.5,
42137,1976,12,20,21.5,5.0,0.0
42137,1976,12,21,22.0,5.0,0.0
42137,1976,12,22,22.0,7.0,0.0
42137,1976,12,23,21.5,7.0,0.0
42137,1976,12,24,22.0,6.0,0.0
42137,1976,12,25,22.0,9.0,0.0
42137,1976,12,26,24.0,10.0,6.0
42137,1976,12,27,23.0,10.0,0.0
42137,1976,12,28,22.0,7.0,0.0
42137,1976,12,29,22.0,8.0,0.0
42137,1976,12,30,20.0,6.0,0.0
42137,1976,12,31,19.0,4.0,0.0
42137,1977,1,1,19.0,5.0,0.0
42137,1977,1,2,21.0,7.0,0.0
42137,1977,1,3,19.0,6.0,0.0
42137,1977,1,4,21.0,7.0,0.0
42137,1977,1,5,24.0,8.0,0.0
42137,1977,1,6,24.0,10.0,0.0
42137,1977,1,7,23.5,6.0,0.0
42137,1977,1,8,21.5,8.0,0.0
42137,1977,1,9,22.5,10.0,0.0
42137,1977,1,10,23.0,10.0,0.0
42137,1977,1,11,19.0,11.0,2.0
42137,1977,1,12,22.5,5.0,0.0
42137,1977,1,13,17.5,4.0,0.0
42137,1977,1,14,20.5,5.0,0.0
42137,1977,1,15,21.0,6.0,0.0
42137,1977,1,16,20.0,5.0,0.0
42137,1977,1,17,18.0,5.0,0.0
42137,1977,1,18,20.0,5.0,0.0
42137,1977,1,19,21.0,8.0,0.0
42137,1977,1,20,19.0,7.0,0.0
42137,1977,1,21,19.0,5.0,0.0
42137,1977,1,22,19.5,4.0,0.0
42137,1977,1,23,19.5,6.5,0.0
42137,1977,1,24,14.0,10.0,0.0
42137,1977,1,25,16.5,10.0,10.0
42137,1977,1,26,18.0,8.0,4.0
42137,1977,1,27,20.5,8.0,0.0
42137,1977,1,28,16.5,4.0,0.0
42137,1977,1,29,15.0,4.0,0.0
42137,1977,1,30,16.5,4.0,0.0
42137,1977,1,31,17.0,7.0,0.0
42137,1977,2,1,19.0,7.0,0.0
42137,1977,2,2,21.5,8.0,0.0
42137,1977,2,3,21.0,7.0,0.0
42137,1977,2,4,20.5,8.0,0.0
